56 13 1
55 14 1
56 14 1
57 14 1
50 15 1
51 15 1
52 15 1
57 15 1
58 15 1
49 16 1
52 16 1
53 16 1
54 16 1
57 16 1
59 16 1
60 16 1
48 17 1
52 17 1
54 17 1
57 17 1
59 17 1
48 18 1
53 18 1
55 18 1
57 18 1
59 18 1
61 18 1
62 18 1
50 19 1
55 19 1
57 19 1
61 19 1
62 19 1
47 20 1
49 20 1
54 20 1
58 20 1
60 20 1
61 20 1
62 20 1
46 21 1
47 21 1
49 21 1
51 21 1
52 21 1
62 21 1
63 21 1
45 22 1
47 22 1
49 22 1
51 22 1
44 23 1
45 23 1
47 23 1
49 23 1
51 23 1
53 23 1
54 23 1
43 24 1
45 24 1
47 24 1
49 24 1
51 24 1
53 24 1
55 24 1
42 25 1
43 25 1
45 25 1
47 25 1
49 25 1
51 25 1
53 25 1
55 25 1
56 25 1
41 26 1
43 26 1
45 26 1
47 26 1
49 26 1
51 26 1
53 26 1
55 26 1
57 26 1
40 27 1
41 27 1
43 27 1
45 27 1
47 27 1
49 27 1
51 27 1
53 27 1
55 27 1
57 27 1
58 27 1
39 28 1
41 28 1
43 28 1
45 28 1
47 28 1
49 28 1
51 28 1
53 28 1
55 28 1
57 28 1
59 28 1
38 29 1
39 29 1
41 29 1
43 29 1
45 29 1
47 29 1
49 29 1
51 29 1
53 29 1
55 29 1
57 29 1
59 29 1
60 29 1
37 30 1
39 30 1
41 30 1
43 30 1
45 30 1
47 30 1
49 30 1
51 30 1
53 30 1
55 30 1
57 30 1
59 30 1
61 30 1
36 31 1
37 31 1
39 31 1
41 31 1
43 31 1
45 31 1
47 31 1
49 31 1
51 31 1
53 31 1
55 31 1
57 31 1
59 31 1
61 31 1
62 31 1
35 32 1
37 32 1
39 32 1
41 32 1
43 32 1
45 32 1
47 32 1
49 32 1
51 32 1
53 32 1
55 32 1
57 32 1
59 32 1
61 32 1
63 32 1
34 33 1
35 33 1
37 33 1
39 33 1
41 33 1
43 33 1
45 33 1
47 33 1
49 33 1
51 33 1
53 33 1
55 33 1
57 33 1
59 33 1
61 33 1
63 33 1
64 33 1
33 34 1
35 34 1
37 34 1
39 34 1
41 34 1
43 34 1
45 34 1
47 34 1
49 34 1
51 34 1
53 34 1
55 34 1
57 34 1
59 34 1
61 34 1
63 34 1
65 34 1
32 35 1
33 35 1
35 35 1
37 35 1
39 35 1
41 35 1
43 35 1
45 35 1
47 35 1
49 35 1
51 35 1
53 35 1
55 35 1
57 35 1
59 35 1
61 35 1
63 35 1
65 35 1
66 35 1
31 36 1
33 36 1
35 36 1
37 36 1
39 36 1
41 36 1
43 36 1
45 36 1
47 36 1
49 36 1
51 36 1
53 36 1
55 36 1
57 36 1
59 36 1
61 36 1
63 36 1
65 36 1
67 36 1
30 37 1
31 37 1
33 37 1
35 37 1
37 37 1
39 37 1
41 37 1
43 37 1
45 37 1
47 37 1
49 37 1
51 37 1
53 37 1
55 37 1
57 37 1
59 37 1
61 37 1
63 37 1
65 37 1
67 37 1
68 37 1
29 38 1
31 38 1
33 38 1
35 38 1
37 38 1
39 38 1
41 38 1
43 38 1
45 38 1
47 38 1
49 38 1
51 38 1
53 38 1
55 38 1
57 38 1
59 38 1
61 38 1
63 38 1
65 38 1
67 38 1
69 38 1
28 39 1
29 39 1
31 39 1
33 39 1
35 39 1
37 39 1
39 39 1
41 39 1
43 39 1
45 39 1
47 39 1
49 39 1
51 39 1
